rank,name,team,pos,GP,PPG,RPG,APG,qualified
1,Q. Wilson,UAT,PF,19,17.8,9.0,2.1,True
2,N. Colmenares,DSC,PF,20,9.7,8.8,1.8,True
3,J. Strings,GOE,C,12,14.6,8.7,1.2,True
4,F. Hassell,BIG,C,13,13.1,8.5,1.2,True
5,A. Pruitt,GOE,PF,12,12.9,8.5,2.2,True
6,C. Zinaich,CNF,F,16,17.8,8.4,2.1,True
7,L. Santos,AGU,C,12,15.9,8.4,0.6,True
8,J. Canty,HYM,C,21,12.3,8.1,1.4,True
9,A. Peña,WEL,PF,11,19.2,7.8,1.8,True
10,R. Hassan,WEL,C,13,20.4,7.8,1.4,True
11,K. Wachsman,MAL,PF,22,4.6,7.5,0.9,True
12,C. Alaekwe,UAT,PG,12,13.8,7.3,4.5,True
13,E. Bell,CNF,PF,14,10.1,7.1,1.1,True
14,T. Prince,UAT,F,22,16.5,7.0,3.6,True
15,A. Louis,HYM,PF,21,14.8,6.9,1.1,True
16,T. Daniels,UUN,C,19,11.8,6.6,1.8,True
17,J. Ducasse,UAT,F,22,8.3,6.5,1.2,True
18,E. Clark,AGU,PF,22,19.2,6.5,1.1,True
19,B. Beamer,COR,F,13,20.6,6.5,1.0,True
20,J. Matos,BIG,PG,22,17.5,6.2,3.4,True
21,D. Zekovic,MAL,C,22,12.0,6.2,1.7,True
22,A. Ibarguen,CAP,PF,19,13.0,6.1,0.8,True
23,E. Oglivie,CNF,C,12,12.2,6.0,1.3,True
24,M. Rojas,CAP,PF,21,6.2,5.9,2.1,True
25,N. Pomoli,CAP,PG,20,15.3,5.7,5.0,True
26,T. Metzger,DSC,PF,22,12.0,5.5,1.1,True
27,S. Vescovi,CAP,PG,20,16.6,5.4,5.4,True
28,E. Romero,CAP,C,12,9.2,5.2,0.6,True
29,E. Holt,UUN,PF,15,12.2,5.1,1.2,True
30,A. Arevalo,WEL,F,11,8.8,5.1,2.1,True
31,F. Haller,HYM,PF,21,11.8,5.0,1.1,True
32,F. Terra,DSC,G,22,13.4,5.0,5.5,True
33,S. Ottonello,BIG,PF,22,10.0,4.8,1.5,True
34,G. Espindola,CNF,F,22,7.5,4.8,1.5,True
35,N. Martinez,MAL,PF,22,12.0,4.7,0.5,True
36,M. Sarni,UUN,G,22,8.6,4.5,9.6,True
37,M. Benitez,UUN,PF,20,8.2,4.5,0.9,True
38,J. Santiso,AGU,G,21,9.9,4.5,6.4,True
39,A. Zuvich,AGU,C,22,9.2,4.5,1.1,True
40,M. Oyenard,GOE,PG,21,9.8,4.4,2.2,True
41,E. Serres,CAP,F,16,10.3,4.3,1.8,True
42,I. Xavier,HYM,F,21,7.9,4.2,1.9,True
43,A. Moller,UUN,F,18,8.7,4.2,1.1,True
44,S. Vidal,AGU,G,20,11.4,3.9,7.5,True
45,F. Verrone,GOE,PF,19,7.3,3.9,1.4,True
46,A. Nation,HYM,G,18,12.3,3.8,2.7,True
47,J. Sacco,UUN,PF,19,4.3,3.8,1.5,True
48,E. Gonzalez,COR,F,22,7.4,3.7,1.8,True
49,S. Hogan,CAP,F,21,14.6,3.7,2.5,True
50,R. Abell,MAL,G,14,18.0,3.6,3.0,True
51,J. Cruz,MAL,F,14,17.1,3.6,1.9,True
52,F. Soto,DSC,F,18,7.7,3.6,1.5,True
53,B. Curadossi,UUN,PG,22,7.8,3.5,2.0,True
54,P. Gomez,CNF,C,17,4.6,3.5,0.5,True
55,M. Bianchi,DSC,PF,22,6.6,3.4,1.0,True
56,S. Moglia,WEL,F,17,10.5,3.3,1.8,True
57,E. Weaver,DSC,G,15,21.7,3.3,3.0,True
58,S. Fernandez,MAL,G,22,8.3,3.1,2.8,True
59,P. Rusch,COR,G,22,5.3,3.1,3.6,True
60,D. Hicks,BIG,G,22,17.4,3.0,5.1,True
61,G. Iglesias,BIG,PF,22,9.4,3.0,1.4,True
62,M. Romero,MAL,G,22,7.1,3.0,2.7,True
63,S. Zanotta,HYM,G,21,7.3,2.9,5.6,True
64,M. Zubiaurre,DSC,G,22,6.9,2.9,2.0,True
65,T. Leites,COR,F,22,7.3,2.9,1.1,True
66,L. Parodi,CNF,G,21,9.1,2.9,4.8,True
67,M. Mayora,HYM,G,21,6.6,2.8,2.6,True
68,M. Giano,UAT,PG,22,14.3,2.7,2.7,True
69,R. Previatti,WEL,PF,21,5.3,2.7,0.8,True
70,M. Espinosa,BIG,G,21,7.0,2.7,2.7,True
71,J. Rodriguez,AGU,F,22,8.8,2.6,1.3,True
72,O. Medina,MAL,F,22,4.6,2.6,0.5,True
73,J. Feldeine,CNF,G,20,16.1,2.6,3.4,True
74,P. Prieto,CNF,G,22,10.6,2.6,1.9,True
75,A. Acosta,GOE,G,18,8.2,2.6,3.7,True
76,G. Semiglia,HYM,F,16,8.8,2.5,2.8,True
77,F. Pereiras,AGU,PG,22,7.7,2.5,1.5,True
78,N. Lema,CAP,PG,15,4.1,2.5,1.1,True
79,G. Souza,UAT,F,13,6.2,2.5,1.2,True
80,A. Lopez,UAT,SG,22,8.1,2.4,1.0,True
81,S. Massa,UUN,F,22,10.3,2.4,1.3,True
82,A. Mendez,CNF,G,22,7.5,2.4,2.2,True
83,B. Barrera,CNF,F,22,6.5,2.4,0.9,True
84,D. Pena Garcia,WEL,F,20,4.8,2.4,1.1,True
85,N. Catala,BIG,F,22,3.8,2.2,0.6,True
86,E. Bonet,GOE,PG,22,9.0,2.2,3.9,True
87,G. Barrera,WEL,G,20,4.1,2.1,4.8,True
88,S. Calimares,CAP,G,15,3.7,2.1,1.2,True
89,E. Demers,UUN,G,19,17.7,2.0,1.2,True
90,D. Wright,DSC,PF,12,9.6,2.0,1.3,True
91,B. Garcia,BIG,PG,20,4.0,1.9,0.8,True
92,J. Stoll,WEL,G,22,3.0,1.8,1.8,True
93,F. Bavosi,CAP,G,20,2.2,1.8,1.9,True
94,X. Couste,GOE,F,16,8.6,1.7,0.9,True
95,F. Medina,COR,G,21,8.8,1.7,3.2,True
96,L. Viatri,HYM,C,12,2.8,1.5,0.2,True
97,M. Rodriguez,UUN,G,14,2.2,1.5,0.6,True
98,A. Gentile,AGU,C,21,3.3,1.5,0.2,True
99,M. Mac Mullen,DSC,PG,22,3.6,1.5,0.4,True
100,F. Garcia,WEL,G,22,9.8,1.4,3.4,True
101,A. Irastorza,GOE,PF,19,2.3,1.4,0.0,True
102,L. Planells,COR,G,14,2.8,1.4,2.7,True
103,M. Cabot,CNF,G,19,5.5,1.4,0.9,True
104,F. Morales,HYM,PF,20,3.2,1.3,0.5,True
105,T. Rodriguez,BIG,G,22,5.5,1.3,1.3,True
106,T. Araujo,COR,F,12,3.7,1.2,0.4,True
107,M. Fernandez,AGU,PG,21,2.1,0.9,0.5,True
108,M. Antunez,DSC,G,14,2.1,0.9,0.6,True
109,M. Astramskas,UAT,F,13,2.4,0.8,0.5,True
110,O. Senande,COR,G,11,1.6,0.8,0.5,True
111,G. Brun,UAT,G,19,0.9,0.7,0.5,True
112,N. Bessio,UUN,G,20,1.8,0.6,1.6,True
113,E. Superi,CNF,G,14,1.4,0.6,0.6,True
114,I. Dos Santos,GOE,F,17,4.3,0.5,0.2,True
115,C. Heilmann,CAP,PF,12,3.2,0.5,0.4,True
116,M. Viazzo,COR,G,14,0.4,0.4,0.4,True
