personId,display,teams,name_keys,GP
2534741,T. Prince,UAT,UAT/PRINCE/TY,22
208488,J. Ducasse,UAT,UAT/DUCASSE/JUAN,22
1338848,M. Giano,UAT,UAT/GIANO/MATEO,22
16807,A. Lopez,UAT,UAT/LOPEZ/ALEX,22
43252,M. Sarni,UUN,UUN/SARNI/MATEO,22
62685,S. Massa,UUN,UUN/MASSA/SANTIAGO,22
1714808,B. Curadossi,UUN,UUN/CURADOSSI/BRUNO,22
1645559,J. Stoll,WEL,WEL/STOLL/JUAN IGNACIO,22
1334179,F. Garcia,WEL,WEL/GARCIA/FELIPE,22
2324181,D. Hicks,BIG,BIG/HICKS/DESHONE,22
191795,S. Ottonello,BIG,BIG/OTTONELLO/SEBASTIAN,22
16616,N. Catala,BIG,BIG/CATALA/NICOLAS,22
1989296,T. Rodriguez,BIG,BIG/RODRIGUEZ/THIAGO,22
16857,G. Iglesias,BIG,BIG/IGLESIAS/GONZALO,22
2534718,J. Matos,BIG,BIG/MATOS/JHERY,22
2534717,E. Clark,AGU,AGU/CLARK/EARL,22
17571,F. Pereiras,AGU,AGU/PEREIRAS/FEDERICO,22
1430994,J. Rodriguez,AGU,AGU/RODRIGUEZ/JOAQUIN,22
17554,A. Zuvich,AGU,AGU/ZUVICH/AGUSTIN,22
725720,T. Metzger,DSC,DSC/METZGER/THEO,22
17046,M. Zubiaurre,DSC,DSC/ZUBIAURRE/MAURO,22
191820,F. Terra,DSC,DSC/TERRA/FACUNDO,22
1723827,M. Mac Mullen,DSC,DSC/MAC MULLEN/MATEO,22
999249,M. Bianchi,DSC,DSC/BIANCHI/MATEO,22
961332,E. Bonet,GOE,GOE/BONET/EMILIANO,22
16177,M. Romero,MAL,MAL/ROMERO/MANUEL,22
1346396,S. Fernandez,MAL,MAL/FERNANDEZ/SANTIAGO,22
2394559,D. Zekovic,MAL,MAL/ZEKOVIC/DRAGAN,22
1645560,N. Martinez,MAL,MAL/MARTINEZ/NICOLAS,22
17488,K. Wachsman,MAL,MAL/WACHSMAN/KIRIL,22
17110,O. Medina,MAL,MAL/MEDINA/OCTAVIO,22
983931,T. Leites,COR,COR/LEITES/TIAGO,22
15216,E. Gonzalez,COR,COR/GONZALEZ/EMILIANO,22
17379,P. Rusch,COR,COR/RUSCH/PIERINO,22
1894506,A. Mendez,CNF,CNF/MENDEZ/AGUSTIN,22
1722930,P. Prieto,CNF,CNF/PRIETO/PATRICIO,22
17677,B. Barrera,CNF,CNF/BARRERA/BERNARDO,22
17669,G. Espindola,CNF,CNF/ESPINDOLA/GIANFRANCO,22
258698,M. Mayora,HYM,HYM/MAYORA/MANUEL,21
727814,I. Xavier,HYM,HYM/XAVIER/IGNACIO,21
15217,F. Haller,HYM,HYM/HALLER/FEDERICO,21
15259,S. Zanotta,HYM,HYM/ZANOTTA/SALVADOR,21
425204,A. Louis,HYM,HYM/LOUIS/ARNOLD,21
2486580,J. Canty,HYM,HYM/CANTY/JALEN,21
1314581,R. Previatti,WEL,WEL/PREVIATTI/RAFAEL,21
1942261,M. Espinosa,BIG,BIG/ESPINOSA/MATIAS,21
2158090,M. Fernandez,AGU,AGU/FERNANDEZ/MANUEL,21
17101,J. Santiso,AGU,AGU/SANTISO/JUAN,21
1717089,A. Gentile,AGU,AGU/GENTILE/AGUSTIN,21
1567203,M. Oyenard,GOE,GOE/OYENARD/MANUEL,21
15257,F. Medina,COR,COR/MEDINA/FACUNDO,21
15251,L. Parodi,CNF,CNF/PARODI/LUCIANO,21
1642412,S. Hogan,CAP,CAP/HOGAN/SKYLER,21
258681,M. Rojas,CAP,CAP/ROJAS/MARTIN,21
1765561,F. Morales,HYM,HYM/MORALES/FACUNDO,20
1569431,N. Bessio,UUN,UUN/BESSIO/NICOLAS,20
2074488,M. Benitez,UUN,UUN/BENITEZ/MATIAS,20
16739,G. Barrera,WEL,WEL/BARRERA/GUSTAVO,20
14724,S. Vidal,AGU,AGU/VIDAL/SANTIAGO,20
43224,N. Colmenares,DSC,DSC/COLMENARES/NESTOR,20
2321121,J. Feldeine,CNF,CNF/FELDEINE/JAMES,20
811063,N. Pomoli,CAP,CAP/POMOLI/NICOLA,20
17071,F. Bavosi,CAP,CAP/BAVOSI/FEDERICO,20
617418,S. Vescovi,CAP,CAP/VESCOVI/SANTIAGO,20
1642407,D. Pena Garcia,WEL,WEL/PENA GARCIA/DIEGO,20
16715,B. Garcia,BIG,BIG/GARCIA/BRIAN,20
2486591,Q. Wilson,UAT,UAT/WILSON/QUATARRIUS,19
1651515,G. Brun,UAT,UAT/BRUN/GABRIEL,19
2534746,E. Demers,UUN,UUN/DEMERS/ERIC,19
2534742,T. Daniels,UUN,UUN/DANIELS/TRAVIS,19
17044,F. Verrone,GOE,GOE/VERRONE/FERNANDO,19
1977269,A. Irastorza,GOE,GOE/IRASTORZA/AGUSTIN,19
15196,M. Cabot,CNF,CNF/CABOT/MARCOS,19
1975797,A. Ibarguen,CAP,CAP/IBARGUEN/ANDRES,19
1644398,J. Sacco,UUN,UUN/SACCO/JONATHAN,19
2486578,A. Nation,HYM,HYM/NATION/ANDRE,18
1765563,A. Moller,UUN,UUN/MOLLER/AGUSTIN,18
539387,F. Soto,DSC,DSC/SOTO/FEDERICO,18
16508,A. Acosta,GOE,GOE/ACOSTA/ALEJANDRO,18
16511,S. Moglia,WEL,WEL/MOGLIA/SANTIAGO,17
2154756,I. Dos Santos,GOE,GOE/DOS SANTOS/IGNACIO,17
1661038,P. Gomez,CNF,CNF/GOMEZ/PABLO,17
16717,G. Semiglia,HYM,HYM/SEMIGLIA/GASTON,16
571401,X. Couste,GOE,GOE/COUSTE/XAVIER,16
1760620,J. Galeano,CNF,CNF/GALEANO/GERONIMO; CNF/GALEANO/JERONIMO,16
17691,E. Serres,CAP,CAP/SERRES/EMILIANO,16
2386709,C. Zinaich,CNF,CNF/ZINAICH/CONNOR,16
1709203,E. Holt,UUN,UUN/HOLT/EMMITT,15
1509909,S. Calimares,CAP,CAP/CALIMARES/SANTIAGO,15
2589974,E. Weaver,DSC,DSC/WEAVER/ELIJAH,15
1676246,N. Lema,CAP,CAP/LEMA/NICOLAS,15
1937748,M. Rodriguez,UUN,UUN/RODRIGUEZ/MARTIN,14
1940452,M. Antunez,DSC,DSC/ANTUNEZ/MAXIMILIANO,14
2534733,R. Abell,MAL,MAL/ABELL/REMY,14
2534734,J. Cruz,MAL,MAL/CRUZ/JESUS,14
623893,L. Planells,COR,COR/PLANELLS/LUCIANO,14
2413907,E. Bell,CNF,CNF/BELL/EZEQUIEL,14
2150245,E. Superi,CNF,CNF/SUPERI/EDUARDO,14
1807060,M. Viazzo,COR,COR/VIAZZO/MICHAEL,14
1342734,M. Astramskas,UAT,UAT/ASTRAMSKAS/MARTIN,13
1924909,F. Hassell,BIG,BIG/HASSELL/FRANK,13
2534720,B. Beamer,COR,COR/BEAMER/BRYCE,13
968070,G. Souza,UAT,UAT/SOUZA/GUILLERMO,13
312957,R. Hassan,WEL,WEL/HASSAN/RASHAD,13
1675384,L. Viatri,HYM,HYM/VIATRI/LAUTARO,12
1981004,D. Wright,DSC,DSC/WRIGHT/DION,12
17628,E. Oglivie,CNF,CNF/OGLIVIE/ERNESTO,12
2544008,C. Heilmann,CAP,CAP/HEILMANN/CONRADO,12
1375364,T. Araujo,COR,COR/ARAUJO/THOMAS,12
2178363,E. Romero,CAP,CAP/ROMERO/ERIC,12
2288279,J. Strings,GOE,GOE/STRINGS/JUSTIN,12
1871466,A. Pruitt,GOE,GOE/PRUITT/AKIA,12
2603089,C. Alaekwe,UAT,UAT/ALAEKWE/CHRISTIAN,12
1314626,L. Santos,AGU,AGU/SANTOS/LUIS,12
1719070,J. Ortiz,WEL,WEL/ORTIZ/JUAN MARTIN; WEL/Ortiz/Juan Martin,11
1873515,O. Senande,COR,COR/SENANDE/OMAR,11
2096885,A. Peña,WEL,WEL/PEÑA/ALVARO,11
909792,A. Arevalo,WEL,WEL/AREVALO/ANGEL,11
2534738,I. Ross,UAT,UAT/ROSS/ISAIAH,10
2261706,S. Conceicao,GOE,GOE/CONCEICAO/SERGIO,10
2549194,O. Rosado,CAP,CAP/ROSADO/ONEL,10
1796527,N. Rodriguez,MAL,MAL/RODRIGUEZ/NAHUEL; MAL/Rodriguez/Nahuel,10
1791017,M. Jounes,UUN,UUN/JOUNES/MARIANO,9
2486593,M. Moore,WEL,WEL/MOORE/MARQUIS,9
2214818,A. Payovich,BIG,BIG/PAYOVICH/ALVARO,9
15493,J. Osimani,AGU,AGU/OSIMANI/JOAQUIN,9
1661037,M. Arregui,COR,COR/ARREGUI/MAURICIO,9
2617486,W. Reed,BIG,BIG/REED/WILLIE,9
2619167,T. Cracknell,GOE,GOE/CRACKNELL/TROY,9
1937721,F. Brun,MAL,MAL/BRUN/FRANCO,8
2534726,V. Clemente Baffuto,COR,COR/CLEMENTE BAFFUTO/VICTOR,8
2411720,J. Delgado,CAP,CAP/DELGADO/JOAQUIN,8
1987397,J. Josiah,GOE,GOE/JOSIAH/JAHVARI,8
701864,D. Sims,AGU,AGU/SIMS/DONALD,8
2399946,J. Webster,MAL,MAL/WEBSTER/JOSHUA,8
2620317,T. Ferguson,WEL,WEL/FERGUSON/TERRANCE,8
2620318,J. O'neal,COR,COR/O'NEAL/JORDAN,8
2620614,A. Spruill,COR,COR/SPRUILL/ADDISON,8
2534712,E. Mockevicius,AGU,AGU/MOCKEVICIUS/EGIDIJUS,7
2486588,G. Whittington,CAP,CAP/WHITTINGTON/GREG,7
348404,D. Nesbitt,GOE,GOE/NESBITT/DAVID,7
2337281,T. Barragan,AGU,AGU/BARRAGAN/TOMAS,7
2577763,A. Gilder Jr.,COR,COR/GILDER JR./ADMON; COR/GLIDER/ADMON; COR/Gilder Jr/Admon,7
2619903,D. Higgs,COR,COR/HIGGS/DEVON,7
1643387,N. Amichetti,UUN,UUN/AMICHETTI/NAHUEL,7
2486592,D. Esparza,WEL,WEL/ESPARZA/DANIEL,6
2199918,J. Duran,BIG,BIG/DURAN/JUAN IGNACIO,6
2486574,D. Wilson,DSC,DSC/WILSON/DUANE,6
2243963,B. Gomez,DSC,DSC/GOMEZ/BRAHIAN,6
2077420,F. Sosa,WEL,WEL/SOSA/FACUNDO,6
2255313,V. Andrade,COR,COR/ANDRADE/VICTOR,6
2619160,D. Davis,MAL,MAL/DAVIS/DARRELL,6
2134158,M. Schell,COR,COR/SCHELL/MATIAS,5
2549110,B. Traversa,AGU,AGU/TRAVERSA/BAUTISTA,5
2222567,V. Acuña,AGU,AGU/ACUÑA/VALENTINO,5
2411715,T. Charbonnier,COR,COR/CHARBONNIER/TOMAS,5
2081918,L. Echeverria,UAT,UAT/ECHEVERRIA/LAUTARO,5
1937775,L. Bennett,CNF,CNF/BENNETT/LUCAS,5
2156021,E. Espinosa,MAL,MAL/ESPINOSA/EMILIANO,5
2345182,A. Hazan,HYM,HYM/HAZAN/ANDRES,5
2585672,C. Mc Evans,WEL,WEL/Mc EVANS/CAMERON,5
2134156,J. Lamas,BIG,BIG/LAMAS/JOAQUIN,5
2620319,E. Buckner,UUN,UUN/BUCKNER/ERIC,5
2386796,T. Segui,WEL,WEL/SEGUI/THOMAS,4
2432773,J. Hartwell,GOE,GOE/HARTWELL/JAMAL,4
2534719,K. Higgins,COR,COR/HIGGINS/KALEB,4
2549330,L. Gomez,UAT,UAT/GOMEZ/LAUTARO,4
2225721,L. Imas,CNF,CNF/IMAS/LUIS PEDRO,4
2228946,F. Caballero,GOE,GOE/CABALLERO/FACUNDO,4
1945674,T. Bentancour,HYM,HYM/BENTANCOUR/TIAGO,4
2325518,F. Moleda,UUN,UUN/MOLEDA/FRANCISCO,4
2620613,E. Ewing,DSC,DSC/EWING/EDEN,4
825306,G. Curbelo,GOE,GOE/CURBELO/GUILLERMO,4
921915,D. Robinson,AGU,AGU/ROBINSON/DONALD; AGU/Robinson/Donald,4
1457105,F. Satut Hornos,UUN,UUN/SATUT HORNOS/FELIPE,3
2534732,A. Rand,GOE,GOE/RAND/AHMAD,3
1983439,C. Gagliano,MAL,MAL/GAGLIANO/CAMILO,3
16985,R. Cardozo,WEL,WEL/CARDOZO/RODRIGO,3
1940451,M. Cuervo,DSC,DSC/CUERVO/MATIAS; DSC/Cuervo/Matías,3
2344218,J. Diaz,BIG,BIG/DIAZ/JUAN,3
2544022,A. Sosa,BIG,BIG/SOSA/ALAN,3
2225720,F. Pereira,CNF,CNF/PEREIRA/FRANCISCO,3
771526,R. Jackson,WEL,WEL/JACKSON/RICK,3
2699789,H. Thompson,UUN,UUN/THOMPSON/HOLLIS,3
1639448,V. Rudd,DSC,DSC/RUDD/VICTOR,3
2698439,M. Henry,HYM,HYM/HENRY/MYKE,3
2250412,M. Soto,DSC,DSC/SOTO/MELVIN,2
2334035,J. Terra,GOE,GOE/TERRA/JUAN IGNACIO,2
2232160,S. Garcia,COR,COR/GARCIA/SANTIAGO,2
2405599,G. Rodriguez,DSC,DSC/RODRIGUEZ/GUILLERMO; DSC/Rodriguez/Guillermo,2
2377994,S. Martinez,WEL,WEL/MARTINEZ/SANTIAGO,2
14735,I. Loriente,UAT,UAT/LORIENTE/IVAN,2
2197574,M. Simon,AGU,AGU/SIMON/MIGUEL,2
2212601,G. Volcan,HYM,HYM/VOLCAN/GERONIMO,2
2345184,S. Chanes,HYM,HYM/CHANES/SANTIAGO,2
2397427,A. Perez,MAL,MAL/PEREZ/AGUSTIN,2
2549334,R. Lagos,WEL,WEL/LAGOS/RUDY,2
2321115,C. Guyton,MAL,MAL/GUYTON/CARLTON; MAL/Guyton/Carlton,2
2549324,S. Tricot,DSC,DSC/TRICOT/SANTIAGO,1
1675913,J. Brisset,UAT,UAT/BRISSET/JUAN MANUEL,1
2549331,R. Schellemberg,UUN,UUN/SCHELLEMBERG/RAFAEL,1
2549327,F. Rivor,GOE,GOE/RIVOIR/FACUNDO,1
2549321,L. San Sebastian,COR,COR/SAN SEBASTIAN/LUCA,1
2549320,I. Ramirez,AGU,AGU/RAMIREZ/IGNACIO,1
2334029,F. Giovanetti,WEL,WEL/GIOVANETTI/FRANCISCO,1
2134181,L. Quiñones,CAP,CAP/QUIÑONES/LEANDRO,1
2549323,J. Agostini,COR,COR/AGOSTINI/JULIAN,1
2334033,M. Prota,WEL,WEL/PROTA/MASSIMINO,1
2383405,F. De Leon,DSC,DSC/DE LEON/FABRIZIO,1
2549322,M. Macias,COR,COR/MACIAS/MATHEO,1
2549326,F. Gastaldi,GOE,GOE/GASTALDI/FELIPE,1
2616169,A. Aron,DSC,DSC/Aron/Andres,1
2610301,F. Taborda,UAT,UAT/TABORDA/FACUNDO,1
2695203,J. Gonzalez,BIG,BIG/Gonzalez/Joaquin,1
2686619,R. Robaina,GOE,GOE/ROBAINA/RODRIGO,1
LOCAL:GOE-SERVENTICH,M. Serventich,GOE,GOE/SERVENTICH/MARTIN,1
2702537,C. Platero,WEL,WEL/Platero/Caetano ,1
2451012,A. Zaporta,WEL,WEL/ZAPORTA/ARLE,1
2706600,R. Perry,COR,COR/PERRY/ROB,1
