personId,name,team,pos,MIN,GP,TS%,TS%_pct,eFG%,eFG%_pct,FTr,FTr_pct,AST/TO,AST/TO_pct,PTS36,PTS36_pct,REB36,REB36_pct,OREB36,OREB36_pct,DREB36,DREB36_pct,AST36,AST36_pct,STL36,STL36_pct,BLK36,BLK36_pct,TOV36,TOV36_pct,USG%,USG%_pct,AST%,AST%_pct,REB%,REB%_pct,OREB%,OREB%_pct,DREB%,DREB%_pct,STL%,STL%_pct,BLK%,BLK%_pct
2577763,A. Gilder Jr.,COR,PG,214.6,7,56.5,57.2,54.3,59.9,33.9,64.9,1.53,55.4,27.68,99.5,7.72,67.1,1.51,50.0,6.21,79.7,4.36,75.2,2.85,97.7,0.67,73.4,2.85,74.3,32.7,99.5,21.8,83.3,11.0,66.2,4.3,48.6,17.5,77.0,3.9,96.8,1.7,68.9
2589974,E. Weaver,DSC,G,470.9,15,69.9,96.8,67.8,97.7,35.1,69.8,1.0,25.2,24.92,98.6,3.82,18.5,0.15,0.9,3.67,35.6,3.44,63.5,2.14,86.9,0.15,31.1,3.44,87.8,26.5,91.4,17.1,66.2,5.5,17.1,0.4,0.5,10.5,37.4,3.1,90.5,0.4,28.4
2534746,E. Demers,UUN,G,492.5,19,61.5,82.0,59.0,81.1,22.9,40.1,0.88,18.5,24.63,97.7,2.78,3.2,0.37,7.7,2.41,9.5,1.61,15.8,1.61,68.9,0.15,31.1,1.83,35.6,27.9,96.8,8.3,23.4,4.3,4.5,1.1,7.2,7.8,12.2,2.4,75.7,0.4,28.4
2534720,B. Beamer,COR,F,393.8,13,61.3,80.2,58.3,79.7,30.1,57.2,0.54,6.3,24.5,96.8,7.68,66.2,2.83,79.7,4.85,60.8,1.19,5.4,0.91,25.2,0.18,38.3,2.19,52.7,26.7,93.2,5.8,7.2,11.3,69.4,8.3,81.5,14.4,59.9,1.3,24.8,0.5,36.5
701864,D. Sims,AGU,PG,214.1,8,71.3,99.5,65.9,95.9,38.8,75.7,1.78,68.0,23.88,95.9,1.85,0.5,0.34,5.9,1.51,0.5,5.38,86.9,1.35,55.4,0.17,34.7,3.03,77.9,24.7,82.9,24.2,87.8,2.8,0.5,1.1,7.2,4.2,0.5,1.9,53.6,0.4,28.4
2386709,C. Zinaich,CNF,F,433.4,16,65.0,91.4,61.4,86.9,55.7,93.2,0.97,22.1,23.67,95.0,11.13,95.9,2.74,77.9,8.39,99.5,2.74,54.1,2.24,91.4,2.16,97.7,2.82,72.1,24.7,82.9,12.2,54.1,15.5,94.1,7.6,75.7,23.4,97.7,3.0,88.3,6.0,98.6
15217,F. Haller,HYM,PF,380.9,21,62.1,86.0,57.4,77.9,32.0,60.8,1.0,25.2,23.44,94.1,9.83,86.9,2.27,67.1,7.56,94.1,2.17,38.3,0.85,18.5,0.47,60.4,2.17,50.9,25.5,86.9,10.8,41.9,14.0,88.7,6.6,68.5,21.0,95.9,1.2,18.9,1.4,62.2
2321121,J. Feldeine,CNF,G,509.9,20,57.8,64.9,52.9,48.6,34.2,66.7,2.39,92.3,22.8,93.2,3.67,14.0,0.28,4.5,3.39,30.2,4.73,81.5,1.91,84.2,0.14,28.4,1.98,44.6,25.4,86.0,21.2,80.6,5.1,13.5,0.7,3.2,9.8,31.1,2.6,82.9,0.4,28.4
312957,R. Hassan,WEL,C,418.8,13,61.8,85.1,60.6,84.2,25.4,45.5,0.6,7.7,22.78,92.3,8.77,80.6,1.55,52.3,7.22,91.0,1.55,13.1,0.43,1.4,0.34,51.8,2.58,66.7,26.3,90.1,9.1,31.5,12.3,77.0,4.4,51.4,19.9,88.3,0.6,1.8,0.9,50.9
2534717,E. Clark,AGU,PF,668.9,22,59.7,73.4,55.4,67.1,28.7,52.3,0.54,6.3,22.71,91.4,7.64,65.3,0.97,27.9,6.67,84.7,1.35,9.5,0.7,10.8,1.4,92.3,2.48,63.1,26.6,92.3,6.5,9.5,10.8,65.3,3.0,31.5,17.3,75.2,1.0,11.7,3.4,90.5
2534718,J. Matos,BIG,PG,647.5,22,52.4,33.8,47.9,30.2,25.8,49.1,1.29,48.6,21.41,90.5,7.56,64.4,1.33,42.8,6.23,80.6,4.17,71.6,1.89,83.3,0.28,46.4,3.22,81.1,30.9,98.6,20.4,77.9,11.3,69.4,4.0,45.5,18.6,81.5,2.9,86.0,0.8,47.7
811063,N. Pomoli,CAP,PG,514.8,20,52.7,35.1,50.0,35.1,37.8,72.5,2.17,85.6,21.4,89.6,7.9,68.9,1.75,57.2,6.15,77.9,6.99,94.1,2.17,87.8,0.28,46.4,3.22,81.1,28.7,97.7,29.9,95.0,11.4,70.7,5.3,59.5,17.0,73.4,3.1,90.5,0.8,47.7
617418,S. Vescovi,CAP,PG,560.9,20,65.3,92.3,61.7,91.4,47.1,90.5,1.86,70.7,21.24,88.7,6.93,57.2,1.09,33.3,5.84,72.1,6.93,93.2,2.31,93.2,0.39,55.9,3.72,94.1,24.3,80.6,28.2,93.2,10.3,60.8,3.4,38.3,16.7,70.7,3.3,93.2,1.1,56.8
1314626,L. Santos,AGU,C,327.3,12,71.1,97.7,69.2,98.6,57.9,95.0,0.5,4.5,21.01,87.8,11.11,95.0,3.3,87.8,7.81,96.8,0.77,0.9,0.88,21.6,2.2,98.6,1.54,23.0,20.5,56.8,3.5,0.5,15.7,95.9,10.1,90.1,20.5,93.2,1.3,24.8,5.3,95.9
2096885,A. Peña,WEL,PF,366.9,11,62.9,88.7,57.0,75.2,52.9,91.4,1.25,46.4,20.7,86.9,8.44,76.1,2.35,70.7,6.08,75.2,1.96,28.4,1.28,50.0,0.69,75.2,1.57,23.9,23.1,77.9,10.8,41.9,12.2,75.7,6.8,70.7,17.8,78.4,1.8,49.1,1.8,71.6
17628,E. Oglivie,CNF,C,257.7,12,63.5,89.6,62.0,92.3,44.8,86.5,1.0,25.2,20.4,86.0,10.06,89.6,3.21,85.1,6.85,87.8,2.24,39.6,1.54,66.2,0.14,28.4,2.24,55.4,21.2,65.8,10.5,38.3,13.8,87.4,8.3,81.5,20.1,89.6,2.1,60.4,0.4,28.4
2534733,R. Abell,MAL,G,448.7,14,54.0,40.5,50.3,37.4,43.4,84.2,1.75,66.2,20.22,85.1,4.09,21.6,0.8,17.6,3.29,28.4,3.37,62.6,0.8,15.8,0.08,19.8,1.93,39.2,26.0,88.7,17.4,68.0,5.7,21.6,2.2,18.0,9.1,22.5,1.2,18.9,0.2,17.6
2534734,J. Cruz,MAL,F,431.8,14,51.2,27.9,47.7,28.4,21.5,29.3,0.79,11.7,20.01,84.2,4.25,23.9,1.42,45.5,2.83,17.6,2.25,41.0,1.58,68.0,0.17,34.7,2.83,73.4,27.7,95.9,11.6,48.2,5.9,23.0,3.8,44.1,8.1,16.7,2.3,71.2,0.5,36.5
425204,A. Louis,HYM,PF,560.1,21,52.0,31.5,50.2,36.5,25.7,48.2,0.5,4.5,19.93,83.3,9.26,85.1,2.7,76.1,6.56,82.4,1.54,12.2,2.06,86.0,0.58,68.0,3.09,78.8,26.3,90.1,7.2,14.9,12.8,81.5,7.1,72.1,19.1,83.3,2.9,86.0,1.6,67.1
1987397,J. Josiah,GOE,PG,218.1,8,58.7,71.2,52.9,48.6,45.9,88.7,0.69,10.4,19.81,82.4,7.43,63.5,2.31,69.8,5.12,63.5,1.82,25.7,1.82,82.4,0.33,50.9,2.64,68.9,24.2,79.7,9.1,31.5,10.6,64.0,6.4,65.8,15.0,64.9,2.6,82.9,0.9,50.9
2486591,Q. Wilson,UAT,PF,623.2,19,61.5,82.0,56.4,71.6,39.1,77.9,1.21,41.9,19.58,81.5,9.88,88.7,3.23,86.9,6.64,83.3,2.31,41.9,0.87,19.8,0.87,84.2,1.91,36.9,22.7,77.0,11.8,50.5,13.8,87.4,9.2,86.0,18.3,80.2,1.3,24.8,2.6,85.1
1975797,A. Ibarguen,CAP,PF,454.8,19,69.3,95.9,66.9,96.8,35.7,71.6,0.65,9.5,19.55,80.6,9.18,83.3,3.88,92.8,5.3,65.3,1.19,5.4,0.95,27.5,0.24,43.7,1.82,34.7,19.6,44.6,5.2,5.0,13.7,86.0,12.0,95.9,15.3,66.2,1.4,30.2,0.7,43.7
2324181,D. Hicks,BIG,G,719.4,22,66.2,93.2,64.1,95.0,16.4,14.9,2.29,89.6,19.12,79.7,3.3,10.4,0.85,21.2,2.45,10.4,5.6,88.7,1.5,62.6,0.3,48.6,2.45,61.7,22.0,69.8,27.0,90.5,4.8,10.4,2.5,22.1,7.2,9.9,2.2,65.8,0.8,47.7
2534738,I. Ross,UAT,G,292.2,10,49.5,18.5,45.9,18.9,29.6,55.4,1.22,43.2,18.6,78.8,4.19,23.0,0.99,29.3,3.2,25.7,4.07,70.7,1.23,45.9,0.0,6.8,3.33,85.1,27.4,95.0,19.2,74.3,6.0,23.9,2.7,27.0,9.7,29.3,1.8,49.1,0.0,6.8
1924909,F. Hassell,BIG,C,329.2,13,56.8,60.4,57.1,76.6,28.6,50.9,0.94,21.2,18.59,77.9,12.14,98.6,4.92,99.5,7.22,91.0,1.64,18.5,0.98,31.1,1.31,90.5,1.75,30.2,22.2,71.6,7.0,13.1,16.9,98.6,13.6,98.6,20.2,90.5,1.4,30.2,3.5,91.4
1642412,S. Hogan,CAP,F,602.1,21,61.7,83.8,61.5,88.3,8.3,1.4,1.93,74.3,18.36,77.0,4.66,32.0,1.73,56.3,2.93,19.4,3.11,59.9,1.73,79.7,0.18,38.3,1.61,26.1,20.3,53.2,14.2,59.9,6.9,36.9,5.3,59.5,8.3,18.9,2.5,79.7,0.5,36.5
2620318,J. O'neal,COR,F,265.0,8,59.2,72.5,56.8,73.9,38.5,74.3,1.33,50.0,18.07,76.1,9.51,86.0,3.94,94.1,5.57,68.0,1.63,17.6,1.49,61.3,1.63,93.2,1.22,12.2,19.9,48.2,9.0,28.8,13.3,84.7,10.1,90.1,17.0,73.4,2.1,60.4,4.5,93.2
191795,S. Ottonello,BIG,PF,439.1,22,57.9,66.2,53.3,53.6,34.5,68.9,1.19,40.5,18.04,75.2,8.69,79.7,2.79,78.8,5.9,73.4,2.62,52.7,1.15,40.1,0.66,72.1,2.21,53.6,22.6,76.1,12.9,56.3,12.4,78.4,7.9,78.8,16.9,71.6,1.7,44.6,1.8,71.6
2534742,T. Daniels,UUN,C,447.4,19,71.2,98.6,69.8,99.5,56.3,94.1,1.1,32.9,18.02,74.3,10.14,91.0,3.7,90.5,6.44,81.5,2.74,54.1,0.72,13.1,0.48,62.2,2.49,64.9,17.9,32.4,11.7,49.1,14.9,90.5,10.0,88.7,20.6,94.1,1.0,11.7,1.4,62.2
1765563,A. Moller,UUN,F,318.4,18,52.7,35.1,52.8,46.4,46.3,89.6,1.12,33.8,17.64,73.4,8.59,77.0,2.6,75.2,5.99,74.3,2.15,37.4,1.92,85.1,0.11,22.1,1.92,38.3,23.8,78.8,11.0,45.9,13.2,83.3,7.7,77.0,18.9,82.4,2.8,84.2,0.3,22.1
725720,T. Metzger,DSC,PF,546.9,22,58.2,67.1,56.8,73.9,15.5,11.3,1.04,29.3,17.44,72.5,7.96,70.7,2.24,66.2,5.73,69.8,1.58,14.0,0.46,3.6,0.13,25.2,1.51,22.1,20.8,59.0,7.4,17.6,11.6,72.5,6.6,68.5,16.4,69.8,0.7,5.0,0.4,28.4
2619167,T. Cracknell,GOE,PG,312.9,9,52.2,32.9,45.5,16.7,44.6,85.1,3.25,98.6,17.37,71.6,4.6,31.1,1.15,35.6,3.45,32.0,4.49,76.1,1.15,40.1,0.12,23.0,1.38,17.6,22.5,75.2,21.4,82.4,6.1,25.2,2.8,28.8,9.8,31.1,1.6,38.7,0.3,22.1
1722930,P. Prieto,CNF,G,489.6,22,58.5,68.9,56.6,72.5,14.4,9.9,2.73,95.9,17.21,70.7,4.26,24.8,0.96,26.1,3.31,29.3,3.01,58.1,3.09,98.6,0.22,41.9,1.1,8.6,18.3,34.7,11.8,50.5,6.1,25.2,2.6,24.8,10.0,33.8,4.2,98.6,0.7,43.7
2534741,T. Prince,UAT,F,758.7,22,62.5,87.8,58.1,78.8,39.3,78.8,1.95,75.7,17.18,69.4,7.26,62.6,2.51,72.5,4.74,57.7,3.8,68.0,1.52,64.9,0.9,86.0,1.95,41.0,19.8,45.9,17.6,69.8,10.5,62.6,7.3,74.3,13.7,59.0,2.2,65.8,2.7,86.9
2399946,J. Webster,MAL,PG,262.0,8,54.1,41.9,54.3,59.9,22.9,40.1,2.32,90.5,17.18,69.4,2.89,5.0,0.27,3.2,2.61,12.2,6.05,90.5,1.37,56.3,0.0,6.8,2.61,68.0,24.5,81.5,27.8,92.3,4.4,6.3,0.8,4.1,8.0,14.4,2.1,60.4,0.0,6.8
1709203,E. Holt,UUN,PF,383.7,15,55.9,48.6,52.6,42.3,19.2,23.0,0.82,14.4,17.17,68.0,7.22,60.8,1.88,60.8,5.35,67.1,1.69,20.7,0.38,0.5,0.75,77.9,2.06,46.8,21.0,62.6,7.3,16.2,10.4,61.7,5.1,57.7,16.3,68.9,0.5,0.5,2.2,80.6
2620614,A. Spruill,COR,G,290.5,8,47.2,9.5,43.7,9.5,20.9,27.0,0.84,16.7,17.1,67.1,6.32,52.7,1.36,43.7,4.96,61.7,2.6,50.9,0.87,19.8,0.5,64.4,3.1,79.7,25.9,87.8,13.7,59.0,8.7,48.6,3.6,41.4,14.6,62.2,1.2,18.9,1.4,62.2
1430994,J. Rodriguez,AGU,F,411.1,22,57.7,63.5,54.9,65.3,38.2,73.4,0.9,19.4,16.99,66.2,5.08,41.0,0.96,26.1,4.12,44.1,2.45,48.2,2.19,89.2,0.79,81.1,2.71,70.7,21.7,68.9,10.9,43.7,7.3,41.4,3.1,33.3,10.9,40.1,3.0,88.3,2.1,77.5
1645560,N. Martinez,MAL,PF,560.4,22,57.0,61.7,54.1,57.7,41.3,82.4,0.46,2.3,16.96,65.3,6.62,54.5,1.99,61.7,4.63,56.3,0.77,0.9,1.03,32.9,1.73,94.1,1.67,28.4,20.9,60.4,3.8,1.4,9.2,53.6,5.5,61.7,12.9,52.7,1.5,33.8,4.9,94.1
17554,A. Zuvich,AGU,C,432.9,22,67.6,94.1,61.3,85.6,58.0,95.9,1.04,29.3,16.8,64.4,8.32,73.0,3.08,84.2,5.24,64.4,2.0,29.3,1.16,42.3,0.42,58.1,1.91,36.9,17.7,30.6,8.7,26.6,12.2,75.7,9.7,87.8,14.5,60.8,1.6,38.7,1.1,56.8
2394559,D. Zekovic,MAL,C,566.0,22,58.7,71.2,54.6,63.1,20.9,27.0,1.48,51.8,16.79,63.5,8.65,78.8,1.78,59.9,6.87,88.7,2.35,44.6,0.89,23.0,0.57,67.1,1.59,24.8,20.2,51.4,11.0,45.9,12.5,79.7,5.1,57.7,20.4,91.9,1.3,24.8,1.7,68.9
2288279,J. Strings,GOE,C,379.6,12,48.6,14.9,47.6,26.1,19.3,23.9,1.56,57.2,16.6,62.6,9.86,87.8,2.28,68.5,7.59,95.9,1.33,8.6,0.57,8.6,0.85,83.3,0.85,1.4,22.2,71.6,6.9,12.2,13.3,84.7,5.6,62.6,22.4,96.8,0.8,8.1,2.1,77.5
62685,S. Massa,UUN,F,495.4,22,54.0,40.5,52.6,42.3,20.2,24.8,1.61,60.4,16.5,61.7,3.78,17.6,1.09,33.3,2.69,13.1,2.11,32.9,1.67,74.3,0.73,76.6,1.31,14.0,20.4,55.0,9.7,35.6,5.6,19.4,3.1,33.3,8.3,18.9,2.5,79.7,2.2,80.6
191820,F. Terra,DSC,G,642.0,22,50.1,23.0,44.4,12.6,41.5,83.3,1.91,73.4,16.49,60.8,6.17,50.9,0.84,19.8,5.33,66.2,6.84,92.3,1.68,75.7,0.17,34.7,3.59,91.4,25.0,85.1,29.0,94.1,9.0,52.3,2.5,22.1,15.4,67.1,2.5,79.7,0.5,36.5
17691,E. Serres,CAP,F,361.7,16,58.5,68.9,55.3,66.2,35.2,70.7,1.04,29.3,16.42,59.9,6.87,56.3,2.09,63.5,4.78,59.0,2.79,55.4,0.7,10.8,0.5,64.4,2.69,69.8,20.5,56.8,11.9,51.8,9.6,56.3,6.4,65.8,12.4,50.5,1.0,11.7,1.5,65.3
2486580,J. Canty,HYM,C,572.8,21,57.4,62.6,56.0,68.9,29.0,53.6,1.76,67.1,16.28,59.0,10.68,93.2,3.96,95.0,6.72,86.9,1.89,26.6,1.26,48.2,1.95,96.8,1.07,7.7,18.4,35.6,8.5,24.8,15.2,92.3,11.1,94.6,19.3,84.2,1.8,49.1,5.4,97.3
2617486,W. Reed,BIG,C,226.5,9,61.1,78.8,59.0,81.1,83.6,99.5,2.17,85.6,16.21,58.1,9.22,84.2,3.02,83.3,6.2,78.8,2.07,32.0,0.48,5.9,2.7,99.5,0.95,5.0,21.3,67.1,11.0,45.9,15.6,95.0,11.0,93.2,19.7,86.9,0.8,8.1,8.5,99.5
2486578,A. Nation,HYM,G,491.9,18,55.0,46.4,53.0,50.9,24.9,44.6,1.0,25.2,16.17,57.2,4.98,39.2,1.32,41.4,3.66,34.7,3.51,64.9,1.17,43.7,0.81,82.4,3.51,89.6,22.2,71.6,16.0,64.4,7.0,38.3,3.7,42.8,10.5,37.4,1.7,44.6,2.2,80.6
1894506,A. Mendez,CNF,G,366.3,22,64.2,90.5,63.4,94.1,16.8,15.8,2.4,93.2,16.12,56.3,5.11,42.8,1.38,44.6,3.73,37.4,4.72,80.6,1.57,67.1,0.0,6.8,1.97,43.2,17.1,27.5,21.1,79.7,7.1,39.6,3.8,44.1,10.5,37.4,2.1,60.4,0.0,6.8
2413907,E. Bell,CNF,PF,318.4,14,60.1,74.8,61.5,88.3,41.0,81.5,0.83,15.8,16.06,55.4,11.19,96.8,4.52,97.7,6.67,84.7,1.7,22.5,1.02,32.0,0.79,81.1,2.04,45.5,17.9,32.4,7.1,14.0,15.8,96.8,12.4,96.8,19.4,85.1,1.4,30.2,2.3,83.3
571401,X. Couste,GOE,F,311.2,16,56.4,54.5,53.7,55.9,30.8,58.1,0.82,14.4,15.85,54.5,3.12,5.9,0.35,6.8,2.78,14.9,1.62,16.7,0.46,3.6,0.46,59.0,1.97,43.2,20.4,55.0,7.5,18.9,4.6,8.6,1.0,5.9,8.0,14.4,0.7,5.0,1.2,59.0
2178363,E. Romero,CAP,C,250.5,12,60.7,77.0,59.1,82.4,40.3,80.2,0.41,0.5,15.81,53.6,9.05,81.5,3.31,88.7,5.75,70.7,1.01,3.2,1.15,40.1,1.87,95.0,2.44,60.8,18.9,39.2,4.5,3.2,12.4,78.4,9.5,86.9,15.0,64.9,1.6,38.7,5.2,95.0
16807,A. Lopez,UAT,SG,408.5,22,56.5,57.2,53.7,55.9,12.7,8.6,1.15,36.5,15.77,52.7,4.67,32.9,1.67,54.5,3.0,20.3,2.03,30.2,0.97,29.3,0.18,38.3,1.76,31.1,19.9,48.2,9.8,36.5,6.4,28.8,4.6,54.1,8.3,18.9,1.4,30.2,0.5,36.5
1567203,M. Oyenard,GOE,PG,471.5,21,57.8,64.9,54.6,63.1,21.6,31.5,1.64,63.1,15.65,51.8,7.1,59.9,2.9,80.6,4.2,46.4,3.51,64.9,1.07,35.6,0.76,78.8,2.14,50.0,19.5,42.8,17.2,67.1,9.7,57.2,8.2,79.7,11.2,41.0,1.5,33.8,2.0,75.7
