personId,team,name,pos,GP,GS,MIN,PTS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF
2534717,AGU,E. Clark,PF,22,22,668.9,422,151,314,105,204,46,110,74,90,18,124,142,25,13,26,46,41
2534718,BIG,J. Matos,PG,22,22,647.5,385,134,330,86,192,48,138,69,85,24,112,136,75,34,5,58,55
2324181,BIG,D. Hicks,G,22,21,719.4,382,144,269,87,160,57,109,37,44,17,49,66,112,30,6,49,49
2534741,UAT,T. Prince,F,22,22,758.7,362,134,247,115,171,19,76,75,97,53,100,153,80,32,19,41,61
2486591,UAT,Q. Wilson,PF,19,18,623.2,339,132,235,131,229,1,6,74,92,56,115,171,40,15,15,33,49
2534746,UUN,E. Demers,G,19,18,492.5,337,115,249,51,92,64,157,43,57,5,33,38,22,22,2,25,33
617418,CAP,S. Vescovi,PG,20,20,560.9,331,103,210,50,85,53,125,72,99,17,91,108,108,36,6,58,33
2589974,DSC,E. Weaver,G,15,14,470.9,326,117,202,77,111,40,91,52,71,2,48,50,45,28,2,45,30
2321121,CNF,J. Feldeine,G,20,19,509.9,323,108,243,67,124,41,119,66,83,4,48,52,67,27,2,28,35
1338848,UAT,M. Giano,PG,22,22,746.1,314,106,227,63,117,43,110,59,76,13,46,59,59,36,1,50,63
425204,HYM,A. Louis,PF,21,21,560.1,310,118,268,85,177,33,91,41,69,42,102,144,24,32,9,48,70
1642412,CAP,S. Hogan,F,21,21,602.1,307,132,240,101,172,31,68,12,20,29,49,78,52,29,3,27,48
811063,CAP,N. Pomoli,PG,20,19,514.8,306,103,249,60,134,43,115,57,94,25,88,113,100,31,4,46,54
191820,DSC,F. Terra,G,22,20,642.0,294,93,248,59,147,34,101,74,103,15,95,110,122,30,3,64,50
2386709,CNF,C. Zinaich,F,16,11,433.4,285,103,176,93,146,10,30,69,98,33,101,134,33,27,26,34,34
2534720,COR,B. Beamer,F,13,13,393.8,268,101,193,78,121,23,72,43,58,31,53,84,13,10,2,24,38
725720,DSC,T. Metzger,PF,22,6,546.9,265,99,213,55,92,44,121,23,33,34,87,121,24,7,2,23,33
312957,WEL,R. Hassan,C,13,13,418.8,265,114,193,108,166,6,27,31,49,18,84,102,18,5,4,30,20
2394559,MAL,D. Zekovic,C,22,17,566.0,264,99,206,72,121,27,85,39,43,28,108,136,37,14,9,25,56
1645560,MAL,N. Martinez,PF,22,7,560.4,264,92,196,64,116,28,80,52,81,31,72,103,12,16,27,26,44
2486580,HYM,J. Canty,C,21,21,572.8,259,112,200,112,200,0,0,35,58,63,107,170,30,20,31,17,54
2534733,MAL,R. Abell,G,14,14,448.7,252,85,196,58,95,27,101,55,85,10,41,51,42,10,1,24,14
15217,HYM,F. Haller,PF,21,0,380.9,248,92,175,75,134,17,41,47,56,24,80,104,23,9,5,23,44
1975797,CAP,A. Ibarguen,PF,19,19,454.8,247,103,154,103,151,0,3,41,55,49,67,116,15,12,3,23,33
2534734,MAL,J. Cruz,F,14,14,431.8,240,88,214,60,128,28,86,36,46,17,34,51,27,19,2,34,30
1722930,CNF,P. Prieto,G,22,18,489.6,234,85,188,42,79,43,109,21,27,13,45,58,41,42,3,15,57
14724,AGU,S. Vidal,G,20,19,540.5,228,77,167,32,76,45,91,29,36,13,64,77,151,42,0,56,36
62685,UUN,S. Massa,F,22,7,495.4,227,79,193,34,61,45,132,24,39,15,37,52,29,23,10,18,44
2534742,UUN,T. Daniels,C,19,19,447.4,224,82,126,70,95,12,31,48,71,46,80,126,34,9,6,31,31
2486578,HYM,A. Nation,G,18,18,491.9,221,84,181,60,112,24,69,29,45,18,50,68,48,16,11,48,49
191795,BIG,S. Ottonello,PF,22,0,439.1,220,83,165,73,132,10,33,44,57,34,72,106,32,14,8,27,66
1334179,WEL,F. Garcia,G,22,6,511.5,216,72,178,27,64,45,114,27,34,4,27,31,74,23,2,40,44
2096885,WEL,A. Peña,PF,11,11,366.9,211,76,136,73,118,3,18,56,72,24,62,86,20,13,7,16,19
17101,AGU,J. Santiso,G,21,17,592.6,207,68,184,40,88,28,96,43,59,11,83,94,134,16,1,55,37
16857,BIG,G. Iglesias,PF,22,22,520.4,206,70,168,32,66,38,102,28,35,10,56,66,31,11,7,26,29
1567203,GOE,M. Oyenard,PG,21,12,471.5,205,82,162,69,118,13,44,28,35,38,55,93,46,14,10,28,53
17554,AGU,A. Zuvich,C,22,4,432.9,202,70,119,64,96,6,23,56,69,37,63,100,24,14,5,23,66
961332,GOE,E. Bonet,PG,22,14,551.2,197,75,194,55,112,20,82,27,43,14,35,49,86,20,1,38,69
1430994,AGU,J. Rodriguez,F,22,3,411.1,194,65,144,37,65,28,79,36,55,11,47,58,28,25,9,31,54
43224,DSC,N. Colmenares,PF,20,19,506.8,193,88,140,88,140,0,0,17,47,61,115,176,36,21,9,29,59
15251,CNF,L. Parodi,G,21,20,498.2,191,66,165,35,79,31,86,28,42,16,45,61,101,33,0,50,55
1314626,AGU,L. Santos,C,12,12,327.3,191,72,107,68,99,4,8,43,62,30,71,101,7,8,20,14,22
43252,UUN,M. Sarni,G,22,22,611.5,190,67,171,49,125,18,46,38,58,35,64,99,211,57,0,55,53
15257,COR,F. Medina,G,21,4,473.6,185,63,158,40,84,23,74,36,54,14,22,36,67,12,4,52,42
1709203,UUN,E. Holt,PF,15,15,383.7,183,66,151,39,71,27,80,24,29,20,57,77,18,4,8,22,39
1346396,MAL,S. Fernandez,G,22,16,477.2,183,68,182,33,79,35,103,12,15,14,55,69,61,20,0,30,32
208488,UAT,J. Ducasse,F,22,22,608.8,182,70,169,50,83,20,86,22,37,29,113,142,27,18,23,22,71
16807,UAT,A. Lopez,SG,22,0,408.5,179,61,150,22,52,39,98,18,19,19,34,53,23,11,2,20,45
16511,WEL,S. Moglia,F,17,12,427.8,178,66,142,38,55,28,87,18,23,7,49,56,31,20,2,21,19
2288279,GOE,J. Strings,C,12,12,379.6,175,76,166,70,149,6,17,17,32,24,80,104,14,6,9,9,19
1714808,UUN,B. Curadossi,PG,22,0,404.2,172,65,146,41,77,24,69,18,26,27,51,78,43,25,4,37,47
1924909,BIG,F. Hassell,C,13,13,329.2,170,76,133,76,133,0,0,18,38,45,66,111,15,9,12,16,31
17571,AGU,F. Pereiras,PG,22,19,498.0,170,60,137,33,54,27,83,23,30,22,33,55,33,16,1,16,55
17669,CNF,G. Espindola,F,22,15,483.9,166,57,149,42,105,15,44,37,60,40,65,105,32,24,3,19,38
2603089,UAT,C. Alaekwe,PG,12,12,400.4,166,58,176,36,86,22,90,28,38,6,82,88,54,19,4,27,35
727814,HYM,I. Xavier,F,21,17,460.4,165,58,140,42,81,16,59,33,48,33,56,89,40,17,5,27,67
17691,CAP,E. Serres,F,16,1,361.7,165,55,122,30,58,25,64,30,43,21,48,69,28,7,5,27,37
2577763,COR,A. Gilder Jr.,PG,7,6,214.6,165,59,127,39,72,20,55,27,43,9,37,46,26,17,4,17,17
1894506,CNF,A. Mendez,G,22,2,366.3,164,57,119,20,36,37,83,13,20,14,38,52,48,16,0,20,50
2074488,UUN,M. Benitez,PF,20,18,380.9,163,62,134,52,82,10,52,29,42,41,48,89,18,14,7,17,40
15216,COR,E. Gonzalez,F,22,3,489.1,162,59,153,32,67,27,86,17,22,21,61,82,39,12,1,33,72
983931,COR,T. Leites,F,22,12,509.8,160,63,121,62,107,1,14,33,47,25,39,64,24,7,4,14,32
1765563,UUN,A. Moller,F,18,2,318.4,156,58,123,44,71,14,52,26,57,23,53,76,19,17,1,17,55
16177,MAL,M. Romero,G,22,5,489.6,156,48,129,16,39,32,90,28,37,21,44,65,59,17,0,39,64
1871466,GOE,A. Pruitt,PF,12,12,400.9,155,59,145,39,80,20,65,17,25,37,65,102,26,18,11,16,17
15259,HYM,S. Zanotta,G,21,19,552.9,153,53,154,26,55,27,99,20,26,7,54,61,118,17,2,53,54
17046,DSC,M. Zubiaurre,G,22,13,408.3,152,60,125,48,84,12,41,20,27,20,43,63,44,8,6,22,49
2534738,UAT,I. Ross,G,10,10,292.2,151,52,135,32,58,20,77,27,40,8,26,34,33,10,0,27,23
2619167,GOE,T. Cracknell,PG,9,9,312.9,151,46,121,28,73,18,48,41,54,10,30,40,39,10,1,12,25
16508,GOE,A. Acosta,G,18,17,454.4,147,49,133,25,55,24,78,25,32,10,36,46,66,21,5,41,40
1942261,BIG,M. Espinosa,G,21,21,441.6,146,55,118,40,62,15,56,21,27,18,38,56,57,29,0,24,61
999249,DSC,M. Bianchi,PF,22,5,427.0,146,50,82,49,78,1,4,45,57,30,44,74,21,14,11,21,44
17628,CNF,E. Oglivie,C,12,12,257.7,146,59,96,58,91,1,5,27,43,23,49,72,16,11,1,16,40
17677,CNF,B. Barrera,F,22,0,334.9,144,51,128,31,60,20,68,22,31,11,41,52,19,9,3,24,34
2413907,CNF,E. Bell,PF,14,10,318.4,142,61,100,60,92,1,8,19,41,40,59,99,15,9,7,18,33
701864,AGU,D. Sims,PG,8,7,214.1,142,46,85,26,44,20,41,30,33,2,9,11,32,8,1,18,13
16717,HYM,G. Semiglia,F,16,4,351.8,141,45,131,6,17,39,114,12,16,10,30,40,44,11,2,28,38
17044,GOE,F. Verrone,PF,19,1,372.5,139,43,106,8,18,35,88,18,19,12,63,75,26,17,8,23,41
258698,HYM,M. Mayora,G,21,2,464.2,138,46,111,38,83,8,28,38,50,17,41,58,55,29,1,17,37
539387,DSC,F. Soto,F,18,12,459.0,138,54,125,30,53,24,72,6,12,11,54,65,27,14,6,13,53
2620614,COR,A. Spruill,G,8,8,290.5,138,52,134,39,80,13,54,21,28,11,40,51,21,7,4,25,10
571401,GOE,X. Couste,F,16,2,311.2,137,45,107,20,36,25,71,22,33,3,24,27,14,4,4,17,55
2620318,COR,J. O'neal,F,8,8,265.0,133,52,96,47,76,5,20,24,37,29,41,70,12,11,12,9,30
258681,CAP,M. Rojas,PF,21,8,436.6,131,52,100,47,88,5,12,22,39,33,90,123,44,11,3,35,50
2399946,MAL,J. Webster,PG,8,8,262.0,125,50,105,36,69,14,36,11,24,2,19,21,44,10,0,19,14
1989296,BIG,T. Rodriguez,G,22,1,279.4,121,45,98,29,52,16,46,15,21,5,24,29,28,11,0,26,33
1987397,GOE,J. Josiah,PG,8,8,218.1,120,36,85,18,40,18,45,30,39,14,31,45,11,11,2,16,16
17379,COR,P. Rusch,G,22,22,510.4,117,36,91,13,29,23,62,22,29,11,58,69,79,24,1,51,71
1981004,DSC,D. Wright,PF,12,8,272.1,115,42,92,29,57,13,35,18,21,11,13,24,16,8,8,10,24
1314581,WEL,R. Previatti,PF,21,8,318.1,111,44,80,34,61,10,19,13,24,19,38,57,17,8,6,15,62
2178363,CAP,E. Romero,C,12,4,250.5,110,44,77,41,66,3,11,19,31,23,40,63,7,8,13,17,30
15196,CNF,M. Cabot,G,19,2,302.2,104,38,98,23,43,15,55,13,18,7,20,27,18,12,0,10,38
2486593,WEL,M. Moore,G,9,9,186.6,102,37,77,29,63,8,14,20,27,5,26,31,14,6,1,10,17
17488,MAL,K. Wachsman,PF,22,22,556.5,102,34,70,34,68,0,2,34,54,58,108,166,20,13,10,25,51
2617486,BIG,W. Reed,C,9,9,226.5,102,36,61,36,61,0,0,30,51,19,39,58,13,3,17,6,19
17110,MAL,O. Medina,F,22,0,300.4,101,45,73,45,71,0,2,11,20,25,32,57,11,12,0,11,45
348404,GOE,D. Nesbitt,C,7,6,196.6,100,31,71,15,39,16,32,22,28,12,35,47,6,7,4,7,19
909792,WEL,A. Arevalo,F,11,8,251.6,97,34,115,12,39,22,76,7,11,3,53,56,23,12,0,27,33
2619903,COR,D. Higgs,G,7,7,174.0,96,34,84,25,54,9,30,19,37,5,25,30,19,19,11,17,23
1642407,WEL,D. Pena Garcia,F,20,1,355.8,95,30,88,6,14,24,74,11,16,2,45,47,23,8,0,14,32
1719070,WEL,J. Ortiz,G,11,6,187.0,93,30,61,19,32,11,29,22,34,8,25,33,20,10,0,8,26
2620317,WEL,T. Ferguson,SG,8,6,223.4,92,36,86,32,69,4,17,16,22,9,14,23,19,8,4,9,22
16616,BIG,N. Catala,F,22,0,288.6,84,27,83,11,27,16,56,14,20,10,38,48,14,4,4,7,37
2486574,DSC,D. Wilson,PG,6,6,166.4,84,28,72,18,34,10,38,18,19,1,9,10,17,4,0,12,12
16739,WEL,G. Barrera,G,20,17,476.3,82,28,94,14,38,14,56,12,15,2,40,42,96,22,5,47,45
2261706,GOE,S. Conceicao,C,10,10,264.1,82,31,68,24,48,7,20,13,20,16,45,61,7,9,14,16,29
1644398,UUN,J. Sacco,PF,19,0,246.7,82,32,62,31,59,1,3,17,39,33,39,72,29,16,5,32,51
16715,BIG,B. Garcia,PG,20,1,383.9,81,26,82,4,11,22,71,7,8,9,30,39,15,5,1,10,26
2255313,COR,V. Andrade,C,6,6,212.5,81,36,79,36,78,0,1,9,18,19,48,67,14,4,6,23,24
968070,UAT,G. Souza,F,13,4,321.7,81,29,69,12,19,17,50,6,11,8,25,33,15,7,2,8,32
1723827,DSC,M. Mac Mullen,PG,22,0,236.5,79,29,64,16,32,13,32,8,14,15,17,32,9,10,1,4,41
1661038,CNF,P. Gomez,C,17,0,245.9,78,27,62,27,60,0,2,24,33,28,31,59,8,3,6,17,42
2486588,CAP,G. Whittington,C,7,7,158.6,75,26,52,16,25,10,27,13,15,9,30,39,15,10,6,10,20
2154756,GOE,I. Dos Santos,F,17,0,167.6,73,25,62,5,15,20,47,3,4,2,7,9,4,4,1,9,24
2534726,COR,V. Clemente Baffuto,C,8,8,189.4,72,31,60,31,60,0,0,10,28,25,34,59,9,1,12,22,30
1717089,AGU,A. Gentile,C,21,0,152.4,69,25,47,23,37,2,10,17,24,9,23,32,5,5,4,5,31
1765561,HYM,F. Morales,PF,20,0,166.9,65,22,59,8,20,14,39,7,12,14,12,26,9,6,1,2,22
1645559,WEL,J. Stoll,G,22,4,296.2,65,21,58,15,22,6,36,17,26,8,31,39,39,18,0,32,54
2486592,WEL,D. Esparza,G,6,6,126.6,64,24,54,16,25,8,29,8,13,1,5,6,4,3,1,4,14
2620319,UUN,E. Buckner,C,5,5,141.0,63,28,41,28,41,0,0,7,12,11,23,34,9,4,7,13,18
2698439,HYM,M. Henry,F,3,3,84.1,63,20,36,17,26,3,10,20,24,4,14,18,11,4,2,6,7
1676246,CAP,N. Lema,PG,15,3,273.1,61,22,53,8,11,14,42,3,6,11,27,38,17,10,1,9,25
1509909,CAP,S. Calimares,G,15,1,174.7,55,19,46,11,24,8,22,9,16,6,25,31,18,1,1,9,16
15493,AGU,J. Osimani,SG,9,1,173.6,54,20,56,11,25,9,31,5,7,4,7,11,4,4,1,4,18
2432773,GOE,J. Hartwell,G,4,4,127.1,53,20,58,16,34,4,24,9,10,2,12,14,16,1,0,11,10
2619160,MAL,D. Davis,G,6,6,164.9,53,20,56,13,31,7,25,6,13,7,13,20,17,6,0,14,12
2585672,WEL,C. Mc Evans,G,5,2,99.9,51,16,45,10,20,6,25,13,14,0,6,6,9,2,0,7,9
2534712,AGU,E. Mockevicius,C,7,6,127.0,50,19,36,19,33,0,3,12,18,22,36,58,1,6,6,3,17
17071,CAP,F. Bavosi,G,20,0,284.0,45,16,50,6,14,10,36,3,6,9,27,36,37,10,1,19,23
2158090,AGU,M. Fernandez,PG,21,0,144.7,44,14,34,2,6,12,28,4,4,4,14,18,11,5,0,15,25
1977269,GOE,A. Irastorza,PF,19,0,106.2,44,16,33,15,30,1,3,11,22,10,17,27,0,1,1,11,12
1375364,COR,T. Araujo,F,12,8,144.8,44,18,46,13,29,5,17,3,6,11,3,14,5,3,0,5,17
623893,COR,L. Planells,G,14,0,208.3,39,14,44,5,9,9,35,2,4,7,13,20,38,8,1,12,16
2544008,CAP,C. Heilmann,PF,12,2,83.0,39,13,27,8,13,5,14,8,10,2,4,6,5,2,1,5,12
1569431,UUN,N. Bessio,G,20,0,143.8,36,12,38,5,16,7,22,5,8,3,9,12,32,2,0,23,29
1675384,HYM,L. Viatri,C,12,0,95.5,34,13,20,13,20,0,0,8,10,8,10,18,3,3,3,4,9
2534719,COR,K. Higgins,G,4,3,78.5,33,13,38,9,23,4,15,3,3,6,10,16,15,0,0,7,4
1342734,UAT,M. Astramskas,F,13,0,98.9,31,11,33,8,17,3,16,6,7,4,6,10,6,2,0,7,26
1937748,UUN,M. Rodriguez,G,14,2,116.3,31,14,36,14,30,0,6,3,6,7,14,21,9,3,0,7,18
1791017,UUN,M. Jounes,C,9,0,73.8,31,12,27,11,25,1,2,6,12,9,16,25,1,2,1,6,11
1639448,DSC,V. Rudd,,3,3,64.4,31,11,39,5,14,6,25,3,6,1,4,5,8,5,0,5,5
1940452,DSC,M. Antunez,G,14,0,91.4,30,8,25,7,15,1,10,13,18,3,9,12,9,6,3,9,19
2321115,MAL,C. Guyton,PG,2,1,40.6,29,10,16,5,6,5,10,4,4,1,2,3,4,0,0,2,6
2620613,DSC,E. Ewing,,4,4,61.9,28,12,32,10,24,2,8,2,5,4,14,18,4,0,0,5,6
2699789,UUN,H. Thompson,F,3,2,32.2,28,10,23,6,14,4,9,4,4,1,7,8,4,2,0,1,4
771526,WEL,R. Jackson,C,3,1,77.3,27,12,29,12,28,0,1,3,4,8,17,25,5,2,8,6,7
1661037,COR,M. Arregui,C,9,2,86.8,24,9,23,8,17,1,6,5,8,3,19,22,2,4,1,3,19
1760620,CNF,J. Galeano,F,16,1,67.6,22,7,21,6,13,1,8,7,15,3,4,7,4,6,0,8,11
1643387,UUN,N. Amichetti,PF,7,0,78.2,21,7,26,5,10,2,16,5,7,5,6,11,1,5,0,2,16
2706600,COR,R. Perry,G,1,0,30.3,21,8,16,6,10,2,6,3,3,0,3,3,3,2,0,5,3
2150245,CNF,E. Superi,G,14,0,61.0,19,6,17,3,7,3,10,4,6,2,7,9,9,4,0,10,7
1873515,COR,O. Senande,G,11,0,52.2,18,4,11,2,6,2,5,8,19,1,8,9,5,3,0,5,1
1651515,UAT,G. Brun,G,19,0,93.0,17,6,28,4,18,2,10,3,4,2,12,14,9,3,0,5,9
2534732,GOE,A. Rand,PF,3,3,56.4,17,7,16,6,9,1,7,2,6,1,15,16,2,0,3,3,6
2337281,AGU,T. Barragan,G,7,0,18.4,16,6,7,2,2,4,5,0,0,1,1,2,1,2,0,3,1
2214818,BIG,A. Payovich,F,9,0,81.9,15,4,9,3,6,1,3,6,14,4,13,17,3,2,1,4,5
1796527,MAL,N. Rodriguez,PG,10,0,53.7,15,5,14,2,6,3,8,2,2,2,7,9,3,3,2,6,9
2134156,BIG,J. Lamas,F,5,0,23.0,13,5,8,2,2,3,6,0,0,1,2,3,3,0,0,1,6
921915,AGU,D. Robinson,PG,4,0,48.2,13,5,12,2,6,3,6,0,0,1,3,4,3,2,0,1,4
16985,WEL,R. Cardozo,F,3,0,55.1,12,6,13,6,13,0,0,0,0,4,9,13,3,1,1,0,7
2549194,CAP,O. Rosado,F,10,0,31.8,10,4,14,2,5,2,9,0,0,0,7,7,4,0,0,4,5
2544022,BIG,A. Sosa,F,3,0,19.1,10,4,7,3,4,1,3,1,2,2,1,3,1,0,0,0,3
2197574,AGU,M. Simon,PF,2,0,33.6,9,3,8,3,8,0,0,3,4,3,8,11,1,2,2,1,5
2325518,UUN,F. Moleda,F,4,0,11.3,9,4,7,3,3,1,4,0,0,0,1,1,0,1,0,0,0
2156021,MAL,E. Espinosa,F,5,0,11.1,8,4,6,4,5,0,1,0,0,1,0,1,0,0,0,0,1
1937721,MAL,F. Brun,G,8,0,30.4,7,3,7,2,3,1,4,0,0,1,3,4,0,0,0,1,7
2225721,CNF,L. Imas,F,4,0,7.1,7,2,4,1,2,1,2,2,2,0,0,0,0,0,3,1,1
1940451,DSC,M. Cuervo,G,3,0,14.1,7,2,5,1,3,1,2,2,2,0,1,1,0,3,0,2,1
2451012,WEL,A. Zaporta,C,1,0,22.8,7,2,9,2,8,0,1,3,5,1,11,12,1,0,2,1,3
2222567,AGU,V. Acuña,C,5,0,9.0,6,2,7,0,0,2,7,0,0,2,0,2,0,0,0,0,0
2243963,DSC,B. Gomez,C,6,0,18.4,6,3,6,3,4,0,2,0,0,2,2,4,1,0,0,0,0
1807060,COR,M. Viazzo,G,14,0,55.9,6,2,12,1,6,1,6,1,2,1,5,6,5,3,0,9,11
2345184,HYM,S. Chanes,G,2,0,2.4,6,2,3,0,1,2,2,0,0,0,0,0,0,0,0,0,1
2199918,BIG,J. Duran,PG,6,0,33.5,5,2,11,1,3,1,8,0,0,0,2,2,6,3,0,2,2
2549110,AGU,B. Traversa,F,5,0,6.6,5,2,6,2,4,0,2,1,1,1,2,3,0,0,0,1,1
2405599,DSC,G. Rodriguez,G,2,0,4.6,5,2,3,1,2,1,1,0,0,0,0,0,1,1,0,0,1
1945674,HYM,T. Bentancour,F,4,0,7.5,5,2,5,1,1,1,4,0,0,1,0,1,2,0,0,0,3
2411720,CAP,J. Delgado,F,8,0,11.9,4,1,5,0,2,1,3,1,4,0,1,1,1,1,0,0,0
2411715,COR,T. Charbonnier,C,5,0,6.1,4,1,1,1,1,0,0,2,2,1,1,2,0,0,0,0,0
2077420,WEL,F. Sosa,F,6,0,10.0,4,1,5,0,1,1,4,1,2,1,0,1,3,1,0,3,3
2345182,HYM,A. Hazan,F,5,0,6.1,4,1,2,1,1,0,1,2,2,1,1,2,0,0,0,0,2
2344218,BIG,J. Diaz,PF,3,0,11.7,4,2,3,2,2,0,1,0,0,2,2,4,0,0,0,0,2
2225720,CNF,F. Pereira,G,3,0,7.0,4,1,2,0,1,1,1,1,2,0,2,2,2,0,0,1,1
2549324,DSC,S. Tricot,F,1,0,2.1,3,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2134181,CAP,L. Quiñones,C,1,0,1.6,3,1,1,1,1,0,0,1,2,2,0,2,0,0,0,1,1
2134158,COR,M. Schell,F,5,0,7.0,2,1,2,1,1,0,1,0,0,1,3,4,0,0,0,0,1
2549330,UAT,L. Gomez,F,4,0,18.1,2,1,6,1,2,0,4,0,0,2,5,7,0,2,0,0,5
1937775,CNF,L. Bennett,F,5,0,16.9,2,1,5,1,3,0,2,0,6,3,4,7,0,1,0,1,2
2549331,UUN,R. Schellemberg,F,1,0,5.6,2,1,5,1,3,0,2,0,0,1,1,2,0,0,0,0,1
2334029,WEL,F. Giovanetti,F,1,0,1.6,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2549322,COR,M. Macias,F,1,0,0.8,2,1,2,1,2,0,0,0,0,1,0,1,0,0,0,0,0
2549334,WEL,R. Lagos,F,2,0,2.2,2,1,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0
2610301,UAT,F. Taborda,F,1,0,2.4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
825306,GOE,G. Curbelo,PG,4,0,16.0,2,1,5,1,2,0,3,0,0,0,0,0,1,0,0,1,4
1457105,UUN,F. Satut Hornos,C,3,0,16.1,1,0,2,0,2,0,0,1,2,0,3,3,1,0,0,0,6
2549323,COR,J. Agostini,F,1,0,1.9,1,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0
2386796,WEL,T. Segui,F,4,0,3.9,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1675913,UAT,J. Brisset,PG,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2081918,UAT,L. Echeverria,C,5,0,9.9,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,2
2250412,DSC,M. Soto,F,2,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2228946,GOE,F. Caballero,F,4,0,10.7,0,0,2,0,1,0,1,0,0,1,2,3,2,0,0,3,1
2334035,GOE,J. Terra,F,2,0,2.7,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2549327,GOE,F. Rivor,F,1,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2549321,COR,L. San Sebastian,F,1,0,1.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2549320,AGU,I. Ramirez,F,1,0,1.3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1983439,MAL,C. Gagliano,F,3,0,3.7,0,0,2,0,2,0,0,0,0,2,3,5,1,0,0,0,1
2232160,COR,S. Garcia,F,2,0,3.1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2377994,WEL,S. Martinez,F,2,0,3.9,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
14735,UAT,I. Loriente,SG,2,0,17.0,0,0,4,0,0,0,4,0,0,0,3,3,1,0,0,3,2
2334033,WEL,M. Prota,F,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2383405,DSC,F. De Leon,F,1,0,2.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2212601,HYM,G. Volcan,G,2,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2549326,GOE,F. Gastaldi,F,1,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2397427,MAL,A. Perez,F,2,0,3.0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
2616169,DSC,A. Aron,,1,0,2.3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
2695203,BIG,J. Gonzalez,G,1,0,5.4,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,1,1
2686619,GOE,R. Robaina,F,1,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LOCAL:GOE-SERVENTICH,GOE,M. Serventich,F,1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2702537,WEL,C. Platero,C,1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
